DistrictCode,CountyName,DistrictName,SEDcount,SEDpct,CountyMedianIncome,MedianIncome
65755,Merced,Los Banos Unified,7943,73.2,32697,"68,605"
65763,Merced,McSwain Union Elementary,322,38.4,32697,"107,344"
65771,Merced,Merced City Elementary,8137,75.3,32697,"53,155"
65789,Merced,Merced Union High,8495,77.4,32697,"57,281"
65813,Merced,Plainsburg Union Elementary,35,33.7,32697,"55,625"
65821,Merced,Planada Elementary,773,92.2,32697,"44,358"
65839,Merced,Snelling-Merced Falls Union Elementary,57,76,32697,"40,769"
65862,Merced,Weaver Union,2406,81.3,32697,"58,849"
65870,Merced,Winton,1781,91.6,32697,"50,280"
73619,Merced,Gustine Unified,1503,85.2,32697,"61,357"
73726,Merced,Merced River Union Elementary,185,84.9,32697,"95,833"
75317,Merced,Dos Palos Oro Loma Joint Unified,2116,92.3,32697,"49,476"
75366,Merced,Delhi Unified,2121,84.7,32697,"66,954"
65896,Modoc,Surprise Valley Joint Unified,77,63.6,32627,"43,244"
73585,Modoc,Modoc Joint Unified,526,64.6,32627,"51,911"
73593,Modoc,Tulelake Basin Joint Unified,340,83.5,32627,"44,924"
73668,Mono,Eastern Sierra Unified,260,65,36904,"61,950"
73692,Mono,Mammoth Unified,532,47.5,36904,"78,029"
65961,Monterey,Alisal Union,7565,90.4,38130,"79,144"
65979,Monterey,Bradley Union Elementary,30,43.5,38130,"84,583"
65987,Monterey,Carmel Unified,334,14.3,38130,"105,625"
65995,Monterey,Chualar Union,270,88.5,38130,"56,875"
66027,Monterey,Graves Elementary,18,45,38130,"120,833"
66035,Monterey,Greenfield Union Elementary,3061,88.3,38130,"67,115"
66050,Monterey,King City Union,2291,89.7,38130,"64,483"
66068,Monterey,South Monterey County Joint Union High,2293,86.2,38130,"66,309"
66076,Monterey,Lagunita Elementary,15,16,38130,38130
66084,Monterey,Mission Union Elementary,30,24.4,38130,"54,318"
66092,Monterey,Monterey Peninsula Unified,6691,67,38130,"81,770"
66134,Monterey,Pacific Grove Unified,394,20.7,38130,"98,368"
66142,Monterey,Salinas City Elementary,6580,79.6,38130,"72,362"
66159,Monterey,Salinas Union High,14285,87,38130,"79,748"
66167,Monterey,San Antonio Union Elementary,69,57.5,38130,"97,750"
66175,Monterey,San Ardo Union Elementary,103,92.8,38130,"60,250"
66183,Monterey,San Lucas Union Elementary,62,87.3,38130,"69,063"
66191,Monterey,Santa Rita Union Elementary,2565,73.9,38130,"79,604"
66225,Monterey,Spreckels Union Elementary,146,15.3,38130,"153,670"
66233,Monterey,Washington Union Elementary,76,9.6,38130,"194,102"
