SchoolCode,TotalCourses,TotalEnrollment,UCCSUCourses,UCCSUEnrollment,StaffACourses,StaffAEnrollment,StaffBCourses,StaffBEnrollment,StaffNCourses,StaffNEnrollment,NCLBCoreCourses,NCLBEnrollment
3830411,98,1933,72.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830429,29,217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3830437,116,2501,105.0,2304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3831765,447,10912,379.0,9460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3833241,527,14064,374.0,10406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3833407,714,20200,500.0,15023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3834082,407,8070,271.0,5993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3834769,203,4398,132.0,2993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3839081,493,12024,388.0,10177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930054,9,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930211,172,1164,111.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930237,655,12988,324.0,9361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930278,103,722,59.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930302,446,12189,315.0,9481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930310,246,5465,128.0,3492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930427,106,2567,56.0,1374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3930443,125,2166,50.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3932001,368,6366,136.0,3667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3932100,407,10645,242.0,7044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3932308,207,4766,112.0,3058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3933793,113,1628,14.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3933801,1026,20983,427.0,12068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3933959,276,4622,127.0,3119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3934759,681,12165,285.0,7910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3934767,72,682,32.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3934783,686,12709,310.0,8657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3935103,359,6432,135.0,3636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3935111,70,960,31.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3935756,487,7644,194.0,5036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3937406,339,8524,189.0,5041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3938008,422,12195,293.0,9113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3990025,128,640,66.0,327.0,19.0,106.0,42.0,201.0,0.0,0.0,0.0,0.0
4030045,46,209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030128,11,66,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030151,71,567,9.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030185,32,327,15.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030268,278,5914,179.0,4060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030755,550,10100,259.0,6739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4033205,74,527,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4034807,206,5166,144.0,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4035754,452,12570,335.0,9980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4035762,33,450,25.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4036703,283,7749,201.0,5913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4037008,79,637,29.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4037701,233,4824,154.0,3909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130027,13,181,8.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130217,547,13574,301.0,8950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130324,84,545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130472,412,11753,255.0,7395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130738,479,9412,224.0,5939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130993,563,13275,412.0,10968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4132551,281,7346,195.0,5472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4132817,297,6199,189.0,4780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4133070,625,14070,300.0,7843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4133393,287,7272,186.0,5277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4133716,699,14906,445.0,10656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4134557,332,8550,210.0,5905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4135075,151,3547,89.0,2440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4135331,46,409,25.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4135687,57,1352,2.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4136370,580,15410,310.0,8727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
