SchoolCode,SchoolName,DistrictCode,DistrictName,CountyCode,CountyName,TotalFTE,ClearFTE,OtherFTE
1534155,McFarland High School Early College,73908,McFarland Unified,15,Kern,43.02,6.91,34.62
2730190,Soledad High,75440,Soledad Unified,27,Monterey,70.14,48.67,12.15
1935568,John Marshall Senior High,64733,Los Angeles Unified,19,Los Angeles,100.34,80.67,14.2
108753,Pleasant Grove High,67314,Elk Grove Unified,34,Sacramento,109.66,102.61,3.3
116954,Jack London Community Day,64733,Los Angeles Unified,19,Los Angeles,3.5,2.4,1.07
3631322,Bloomington High,67686,Colton Joint Unified,36,San Bernardino,110.08,95.44,7.38
5630173,Sierra High,72454,Fillmore Unified,56,Ventura,4.2,2.5,1.7
125153,Beach High-Intensive Learning Program,64725,Long Beach Unified,19,Los Angeles,7.49,4.57,2.94
125161,Castlemont High,61259,Oakland Unified,1,Alameda,52.61,12.08,38.57
108787,High Tech High Media Arts,68338,San Diego Unified,37,San Diego,21,16.08,4.25
731380,Clayton Valley Charter High,10074,Contra Costa County Office of Education,7,Contra Costa,74.81,57.39,13.76
5630199,Oak View High,73874,Oak Park Unified,56,Ventura,3.2,2.39,0.81
100602,"Lennox Mathematics, Science and Technology Academy",64709,Lennox,19,Los Angeles,28.14,23.82,4.32
1337609,San Pasqual Valley High,63214,San Pasqual Valley Unified,13,Imperial,13.99,11.52,1.53
3434768,John F. Kennedy High,67439,Sacramento City Unified,34,Sacramento,92.05,77.51,6.67
117010,Minarets High,75606,Chawanakee Unified,20,Madera,10,7.79,2.2
3033362,La Habra High,66514,Fullerton Joint Union High,30,Orange,85.57,74.03,4.11
133397,Granada High,61200,Livermore Valley Joint Unified,1,Alameda,100.32,76.97,16.63
133405,Portola High,73650,Irvine Unified,30,Orange,60.72,51.42,3.26
330019,Independence High (Continuation),73981,Amador County Unified,3,Amador,3.09,0.84,2.25
4335907,Piedmont Hills High,69427,East Side Union High,43,Santa Clara,83.28,76.62,4.66
3131687,Confluence Continuation High,66894,Placer Union High,31,Placer,3.41,0.68,2
2132264,Marin Oaks High,65417,Novato Unified,21,Marin,6.48,4.88,1.6
3434792,Kinney High (Continuation),67330,Folsom-Cordova Unified,34,Sacramento,9,6.8,2.19
330027,Pine Grove Youth Conservation Camp,32276,California Education Authority (CEA) Headquarters,34,Sacramento,1.38,1.24,0.14
3336492,Ramona High,67215,Riverside Unified,33,Riverside,89.23,75.01,6.13
2132272,Novato High,65417,Novato Unified,21,Marin,66.08,56.94,7.07
3737905,Santana High,68130,Grossmont Union High,37,San Diego,60.42,47.82,11.58
1132851,Willows High,62661,Willows Unified,11,Glenn,22.17,18.54,1.29
125237,Leadership Military Academy,10330,Riverside County Office of Education,33,Riverside,14.81,10.28,3.27
117051,Edward R. Roybal Learning Center,64733,Los Angeles Unified,19,Los Angeles,45.5,22.5,19.1
5630272,Pacific High,72652,Ventura Unified,56,Ventura,10,2.86,6.83
100677,High Tech LA,64733,Los Angeles Unified,19,Los Angeles,14,13.35,0.65
117069,Helen Bernstein High,64733,Los Angeles Unified,19,Los Angeles,38.5,23.99,11.38
108878,CHAMPS - Charter HS of Arts-Multimedia & Performing,64733,Los Angeles Unified,19,Los Angeles,31.87,24.25,7.61
4335949,Pioneer High,69666,San Jose Unified,43,Santa Clara,68.55,57.95,8.48
3230034,Almanor High (Continuation),66969,Plumas Unified,32,Plumas,0.67,0.67,0
3230042,Beckwourth (Jim) High (Continuation),66969,Plumas Unified,32,Plumas,0.84,0.23,0.61
5630298,El Camino High,72652,Ventura Unified,56,Ventura,10.61,2.34,8.28
100701,MetWest High,61259,Oakland Unified,1,Alameda,15.01,6.66,8.35
108894,Alliance Judy Ivie Burton Technology Academy High,64733,Los Angeles Unified,19,Los Angeles,28.75,25.05,3.7
1935717,Joaquin Miller Career and Transition Center,64733,Los Angeles Unified,19,Los Angeles,21.5,6.82,7.27
3737962,Garfield High,68338,San Diego Unified,37,San Diego,25.8,21.55,3.25
